decade,nominal,measured
All,0.0,0.006691
All,0.0,0.006768
All,0.0,0.006845
All,0.0,0.006614
All,0.0,0.006511
All,0.0,0.006563
All,0.0,0.007051
All,0.0,0.006332
All,0.0,0.00664
All,0.0,0.006768
All,0.0,0.006743
All,0.0,0.006666
All,0.0,0.006511
All,0.0,0.007051
All,0.0,0.006691
All,0.0,0.006743
All,0.0,0.006563
All,0.0,0.006614
All,0.0,0.00646
All,0.0,0.006524
All,0.0,0.006717
All,0.0,0.006871
All,0.0,0.006922
All,0.0,0.00682
All,0.0,0.006588
All,0.0,0.006691
All,0.0,0.00646
All,0.0,0.00664
All,0.0,0.00664
All,0.0,0.005689
All,0.0,0.007025
All,0.0,0.00664
All,0.0,0.006794
All,0.0,0.006691
All,0.0,0.006768
All,0.0,0.006537
All,0.0,0.006794
All,0.0,0.006691
All,0.0,0.00646
All,0.0,0.006794
All,0.0,0.006871
All,0.0,0.006537
All,0.0,0.006794
All,0.0,0.006717
All,0.0,0.006948
All,0.0,0.00682
All,0.0,0.005715
All,0.0,0.006845
All,0.0,0.00646
All,0.0,0.006614
All,0.0,0.00664
All,0.0,0.006794
All,0.0,0.006511
All,0.0,0.006537
All,0.0,0.006653
All,0.0,0.006922
All,0.0,0.006588
All,0.0,0.006691
All,0.0,0.006511
All,0.0,0.006794
All,0.0,0.006704
All,0.0,0.006999
All,0.0,0.006152
All,0.0,0.006511
All,0.0,0.006845
All,0.0,0.006845
All,0.0,0.006845
All,0.0,0.00682
All,0.0,0.006434
All,0.0,0.006743
All,0.0,0.006922
All,0.0,0.006871
All,0.0,0.006563
All,0.0,0.006409
All,0.0,0.00664
All,0.0,0.006563
All,0.0,0.006691
All,0.0,0.006332
All,0.0,0.006948
All,0.0,0.006974
All,0.0,0.006666
All,0.0,0.006691
All,0.0,0.006794
All,0.0,0.006717
All,0.0,0.006845
All,0.0,0.006434
All,0.0,0.006666
All,0.0,0.006666
All,0.0,0.006717
All,0.0,0.006743
All,0.0,0.006409
All,0.0,0.00664
All,0.0,0.006794
All,0.0,0.006717
All,0.0,0.006743
All,0.0,0.005998
All,0.0,0.00664
All,0.0,0.006845
All,0.0,0.006999
All,0.0,0.006781
0.01,0.01,0.016837
0.01,0.01,0.01658
0.01,0.01,0.01676
0.01,0.01,0.016837
0.01,0.01,0.016889
0.01,0.01,0.016401
0.01,0.01,0.016555
0.01,0.01,0.016696
0.01,0.01,0.016657
0.01,0.01,0.016837
0.01,0.01,0.016812
0.01,0.01,0.016657
0.01,0.01,0.016683
0.01,0.01,0.016863
0.01,0.01,0.01676
0.01,0.01,0.016709
0.01,0.01,0.016709
0.01,0.01,0.016657
0.01,0.01,0.016657
0.01,0.01,0.016632
0.01,0.01,0.01658
0.01,0.01,0.01658
0.01,0.01,0.018481
0.01,0.01,0.015758
0.01,0.01,0.016555
0.01,0.01,0.016812
0.01,0.01,0.016657
0.01,0.01,0.016889
0.01,0.01,0.016889
0.01,0.01,0.016606
0.01,0.01,0.016632
0.01,0.01,0.016709
0.01,0.01,0.016735
0.01,0.01,0.01676
0.01,0.01,0.016966
0.01,0.01,0.016991
0.01,0.01,0.017017
0.01,0.01,0.016914
0.01,0.01,0.016555
0.01,0.01,0.016529
0.01,0.01,0.016735
0.01,0.01,0.016657
0.01,0.01,0.016812
0.01,0.01,0.016837
0.01,0.01,0.01658
0.01,0.01,0.016632
0.01,0.01,0.016966
0.01,0.01,0.016529
0.01,0.01,0.016966
0.01,0.01,0.016735
0.01,0.01,0.01676
0.01,0.01,0.016863
0.01,0.01,0.016683
0.01,0.01,0.016555
0.01,0.01,0.016863
0.01,0.01,0.016966
0.01,0.01,0.017223
0.01,0.01,0.016632
0.01,0.01,0.01658
0.01,0.01,0.017068
0.01,0.01,0.016735
0.01,0.01,0.016824
0.01,0.01,0.016632
0.01,0.01,0.016786
0.01,0.01,0.016735
0.01,0.01,0.016709
0.01,0.01,0.017094
0.01,0.01,0.016709
0.01,0.01,0.017017
0.01,0.01,0.016067
0.01,0.01,0.016812
0.01,0.01,0.017556
0.01,0.01,0.016991
0.01,0.01,0.016529
0.01,0.01,0.016683
0.01,0.01,0.016388
0.01,0.01,0.016966
0.01,0.01,0.016272
0.01,0.01,0.016709
0.01,0.01,0.016991
0.01,0.01,0.016812
0.01,0.01,0.016863
0.01,0.01,0.016889
0.01,0.01,0.016709
0.01,0.01,0.016683
0.01,0.01,0.01676
0.01,0.01,0.016799
0.01,0.01,0.016786
0.01,0.01,0.016452
0.01,0.01,0.016735
0.01,0.01,0.016709
0.01,0.01,0.016786
0.01,0.01,0.016914
0.01,0.01,0.016478
0.01,0.01,0.01658
0.01,0.01,0.016709
0.01,0.01,0.016657
0.01,0.01,0.016657
0.01,0.01,0.016529
0.01,0.01,0.016709
0.01,0.02,0.026444
0.01,0.02,0.026855
0.01,0.02,0.026855
0.01,0.02,0.026547
0.01,0.02,0.026932
0.01,0.02,0.026624
0.01,0.02,0.027009
0.01,0.02,0.026701
0.01,0.02,0.026855
0.01,0.02,0.026726
0.01,0.02,0.026649
0.01,0.02,0.026906
0.01,0.02,0.026752
0.01,0.02,0.026701
0.01,0.02,0.026675
0.01,0.02,0.02706
0.01,0.02,0.026803
0.01,0.02,0.026521
0.01,0.02,0.026367
0.01,0.02,0.026572
0.01,0.02,0.026726
0.01,0.02,0.026881
0.01,0.02,0.026547
0.01,0.02,0.026829
0.01,0.02,0.026572
0.01,0.02,0.026726
0.01,0.02,0.026726
0.01,0.02,0.026598
0.01,0.02,0.026932
0.01,0.02,0.026495
0.01,0.02,0.026906
0.01,0.02,0.026932
0.01,0.02,0.026829
0.01,0.02,0.026855
0.01,0.02,0.026624
0.01,0.02,0.026803
0.01,0.02,0.027035
0.01,0.02,0.026598
0.01,0.02,0.026315
0.01,0.02,0.026958
0.01,0.02,0.026752
0.01,0.02,0.026547
0.01,0.02,0.026624
0.01,0.02,0.026598
0.01,0.02,0.026675
0.01,0.02,0.026752
0.01,0.02,0.026855
0.01,0.02,0.026906
0.01,0.02,0.026059
0.01,0.02,0.026701
0.01,0.02,0.02724
0.01,0.02,0.02647
0.01,0.02,0.026983
0.01,0.02,0.026495
0.01,0.02,0.026829
0.01,0.02,0.027343
0.01,0.02,0.026521
0.01,0.02,0.026418
0.01,0.02,0.026572
0.01,0.02,0.026829
0.01,0.02,0.027446
0.01,0.02,0.026958
0.01,0.02,0.026752
0.01,0.02,0.025776
0.01,0.02,0.026778
0.01,0.02,0.026213
0.01,0.02,0.027112
0.01,0.02,0.026418
0.01,0.02,0.026726
0.01,0.02,0.026983
0.01,0.02,0.026649
0.01,0.02,0.027125
0.01,0.02,0.02706
0.01,0.02,0.026881
0.01,0.02,0.026983
0.01,0.02,0.027009
0.01,0.02,0.026624
0.01,0.02,0.026572
0.01,0.02,0.026148
0.01,0.02,0.02647
0.01,0.02,0.026547
0.01,0.02,0.02629
0.01,0.02,0.02647
0.01,0.02,0.026932
0.01,0.02,0.026649
0.01,0.02,0.026983
0.01,0.02,0.026958
0.01,0.02,0.026701
0.01,0.02,0.02706
0.01,0.02,0.026803
0.01,0.02,0.026881
0.01,0.02,0.026881
0.01,0.02,0.026495
0.01,0.02,0.026983
0.01,0.02,0.027009
0.01,0.02,0.026752
0.01,0.02,0.026701
0.01,0.02,0.026701
0.01,0.02,0.026958
0.01,0.02,0.026701
0.01,0.03,0.036384
0.01,0.03,0.037001
0.01,0.03,0.036487
0.01,0.03,0.036847
0.01,0.03,0.036359
0.01,0.03,0.036256
0.01,0.03,0.037104
0.01,0.03,0.036667
0.01,0.03,0.036564
0.01,0.03,0.03659
0.01,0.03,0.036667
0.01,0.03,0.036821
0.01,0.03,0.036872
0.01,0.03,0.037052
0.01,0.03,0.036487
0.01,0.03,0.036847
0.01,0.03,0.036898
0.01,0.03,0.037027
0.01,0.03,0.036487
0.01,0.03,0.036487
0.01,0.03,0.036924
0.01,0.03,0.036885
0.01,0.03,0.036256
0.01,0.03,0.036359
0.01,0.03,0.036667
0.01,0.03,0.036795
0.01,0.03,0.037104
0.01,0.03,0.036513
0.01,0.03,0.03677
0.01,0.03,0.03641
0.01,0.03,0.037104
0.01,0.03,0.036847
0.01,0.03,0.036693
0.01,0.03,0.036847
0.01,0.03,0.036693
0.01,0.03,0.036821
0.01,0.03,0.036718
0.01,0.03,0.036693
0.01,0.03,0.036795
0.01,0.03,0.037181
0.01,0.03,0.036693
0.01,0.03,0.036718
0.01,0.03,0.036538
0.01,0.03,0.036538
0.01,0.03,0.037155
0.01,0.03,0.037206
0.01,0.03,0.036847
0.01,0.03,0.035126
0.01,0.03,0.036795
0.01,0.03,0.037001
0.01,0.03,0.037052
0.01,0.03,0.037617
0.01,0.03,0.036461
0.01,0.03,0.036693
0.01,0.03,0.036949
0.01,0.03,0.037078
0.01,0.03,0.036641
0.01,0.03,0.036718
0.01,0.03,0.036616
0.01,0.03,0.036949
0.01,0.03,0.03677
0.01,0.03,0.03677
0.01,0.03,0.036795
0.01,0.03,0.036538
0.01,0.03,0.036847
0.01,0.03,0.036667
0.01,0.03,0.036821
0.01,0.03,0.036641
0.01,0.03,0.036949
0.01,0.03,0.036872
0.01,0.03,0.03677
0.01,0.03,0.036847
0.01,0.03,0.03659
0.01,0.03,0.036538
0.01,0.03,0.036667
0.01,0.03,0.036872
0.01,0.03,0.036744
0.01,0.03,0.036744
0.01,0.03,0.036949
0.01,0.03,0.036616
0.01,0.03,0.037129
0.01,0.03,0.036667
0.01,0.03,0.036667
0.01,0.03,0.037001
0.01,0.03,0.036718
0.01,0.03,0.036693
0.01,0.03,0.036821
0.01,0.03,0.036307
0.01,0.03,0.037001
0.01,0.03,0.036718
0.01,0.03,0.036949
0.01,0.03,0.036564
0.01,0.03,0.036718
0.01,0.03,0.036821
0.01,0.03,0.036718
0.01,0.03,0.036949
0.01,0.03,0.036616
0.01,0.03,0.036359
0.01,0.03,0.036975
0.01,0.03,0.036744
0.01,0.04,0.046813
0.01,0.04,0.046582
0.01,0.04,0.046736
0.01,0.04,0.046582
0.01,0.04,0.046659
0.01,0.04,0.046582
0.01,0.04,0.047044
0.01,0.04,0.046479
0.01,0.04,0.046762
0.01,0.04,0.044244
0.01,0.04,0.04707
0.01,0.04,0.046916
0.01,0.04,0.046453
0.01,0.04,0.046864
0.01,0.04,0.046633
0.01,0.04,0.04689
0.01,0.04,0.046659
0.01,0.04,0.046556
0.01,0.04,0.046839
0.01,0.04,0.046607
0.01,0.04,0.046813
0.01,0.04,0.046864
0.01,0.04,0.046659
0.01,0.04,0.046787
0.01,0.04,0.046941
0.01,0.04,0.046723
0.01,0.04,0.046479
0.01,0.04,0.046813
0.01,0.04,0.046402
0.01,0.04,0.046993
0.01,0.04,0.04689
0.01,0.04,0.046736
0.01,0.04,0.046736
0.01,0.04,0.046762
0.01,0.04,0.046659
0.01,0.04,0.046864
0.01,0.04,0.046685
0.01,0.04,0.046839
0.01,0.04,0.046787
0.01,0.04,0.046762
0.01,0.04,0.04653
0.01,0.04,0.046762
0.01,0.04,0.046685
0.01,0.04,0.046325
0.01,0.04,0.04671
0.01,0.04,0.046505
0.01,0.04,0.046556
0.01,0.04,0.046864
0.01,0.04,0.046505
0.01,0.04,0.046941
0.01,0.04,0.04671
0.01,0.04,0.046274
0.01,0.04,0.046941
0.01,0.04,0.046659
0.01,0.04,0.046762
0.01,0.04,0.04725
0.01,0.04,0.046607
0.01,0.04,0.046839
0.01,0.04,0.046402
0.01,0.04,0.046736
0.01,0.04,0.047404
0.01,0.04,0.047429
0.01,0.04,0.046762
0.01,0.04,0.047198
0.01,0.04,0.046813
0.01,0.04,0.046762
0.01,0.04,0.04653
0.01,0.04,0.046787
0.01,0.04,0.046453
0.01,0.04,0.046582
0.01,0.04,0.046556
0.01,0.04,0.046479
0.01,0.04,0.046633
0.01,0.04,0.046864
0.01,0.04,0.046787
0.01,0.04,0.046607
0.01,0.04,0.046916
0.01,0.04,0.046813
0.01,0.04,0.046993
0.01,0.04,0.046633
0.01,0.04,0.046787
0.01,0.04,0.046762
0.01,0.04,0.046954
0.01,0.04,0.046864
0.01,0.04,0.046479
0.01,0.04,0.046582
0.01,0.04,0.046633
0.01,0.04,0.046736
0.01,0.04,0.046736
0.01,0.04,0.046839
0.01,0.04,0.046582
0.01,0.04,0.046607
0.01,0.04,0.046813
0.01,0.04,0.046839
0.01,0.04,0.04653
0.01,0.04,0.047969
0.01,0.04,0.046967
0.01,0.04,0.046556
0.01,0.04,0.046787
0.01,0.04,0.046685
0.01,0.05,0.05701
0.01,0.05,0.056599
0.01,0.05,0.056368
0.01,0.05,0.056933
0.01,0.05,0.056805
0.01,0.05,0.056908
0.01,0.05,0.056471
0.01,0.05,0.056574
0.01,0.05,0.056933
0.01,0.05,0.056676
0.01,0.05,0.056522
0.01,0.05,0.056676
0.01,0.05,0.05701
0.01,0.05,0.056702
0.01,0.05,0.056651
0.01,0.05,0.056625
0.01,0.05,0.056908
0.01,0.05,0.056715
0.01,0.05,0.056908
0.01,0.05,0.056702
0.01,0.05,0.056265
0.01,0.05,0.05642
0.01,0.05,0.056599
0.01,0.05,0.056805
0.01,0.05,0.056676
0.01,0.05,0.056291
0.01,0.05,0.056574
0.01,0.05,0.05719
0.01,0.05,0.056985
0.01,0.05,0.056753
0.01,0.05,0.056933
0.01,0.05,0.056625
0.01,0.05,0.056612
0.01,0.05,0.056548
0.01,0.05,0.056548
0.01,0.05,0.056548
0.01,0.05,0.056676
0.01,0.05,0.056869
0.01,0.05,0.056779
0.01,0.05,0.056548
0.01,0.05,0.056651
0.01,0.05,0.056599
0.01,0.05,0.056702
0.01,0.05,0.056728
0.01,0.05,0.056676
0.01,0.05,0.056702
0.01,0.05,0.057139
0.01,0.05,0.056779
0.01,0.05,0.056599
0.01,0.05,0.056651
0.01,0.05,0.057319
0.01,0.05,0.056882
0.01,0.05,0.056856
0.01,0.05,0.056805
0.01,0.05,0.056548
0.01,0.05,0.056599
0.01,0.05,0.056599
0.01,0.05,0.056522
0.01,0.05,0.056599
0.01,0.05,0.056753
0.01,0.05,0.056394
0.01,0.05,0.05701
0.01,0.05,0.056676
0.01,0.05,0.056548
0.01,0.05,0.056625
0.01,0.05,0.056651
0.01,0.05,0.056522
0.01,0.05,0.05719
0.01,0.05,0.058218
0.01,0.05,0.056882
0.01,0.05,0.056753
0.01,0.05,0.056805
0.01,0.05,0.056753
0.01,0.05,0.056651
0.01,0.05,0.056676
0.01,0.05,0.056779
0.01,0.05,0.056625
0.01,0.05,0.056522
0.01,0.05,0.056702
0.01,0.05,0.056574
0.01,0.05,0.057087
0.01,0.05,0.056471
0.01,0.05,0.056676
0.01,0.05,0.056702
0.01,0.05,0.056728
0.01,0.05,0.056574
0.01,0.05,0.056959
0.01,0.05,0.056805
0.01,0.05,0.056458
0.01,0.05,0.056291
0.01,0.05,0.056676
0.01,0.05,0.056599
0.01,0.05,0.056805
0.01,0.05,0.056831
0.01,0.05,0.056676
0.01,0.05,0.056959
0.01,0.05,0.056728
0.01,0.05,0.056253
0.01,0.05,0.056574
0.01,0.05,0.056753
0.01,0.06,0.066489
0.01,0.06,0.06672
0.01,0.06,0.066617
0.01,0.06,0.066745
0.01,0.06,0.066848
0.01,0.06,0.066899
0.01,0.06,0.066874
0.01,0.06,0.066206
0.01,0.06,0.066951
0.01,0.06,0.066874
0.01,0.06,0.066643
0.01,0.06,0.066694
0.01,0.06,0.066925
0.01,0.06,0.066951
0.01,0.06,0.066745
0.01,0.06,0.06654
0.01,0.06,0.06672
0.01,0.06,0.065923
0.01,0.06,0.066797
0.01,0.06,0.067105
0.01,0.06,0.06672
0.01,0.06,0.066463
0.01,0.06,0.066514
0.01,0.06,0.066925
0.01,0.06,0.066694
0.01,0.06,0.066617
0.01,0.06,0.066822
0.01,0.06,0.066566
0.01,0.06,0.067028
0.01,0.06,0.066617
0.01,0.06,0.066874
0.01,0.06,0.066643
0.01,0.06,0.067079
0.01,0.06,0.063894
0.01,0.06,0.066591
0.01,0.06,0.066668
0.01,0.06,0.066951
0.01,0.06,0.066951
0.01,0.06,0.066925
0.01,0.06,0.066463
0.01,0.06,0.067002
0.01,0.06,0.066566
0.01,0.06,0.066745
0.01,0.06,0.067054
0.01,0.06,0.066848
0.01,0.06,0.066566
0.01,0.06,0.066694
0.01,0.06,0.06672
0.01,0.06,0.066848
0.01,0.06,0.06672
0.01,0.06,0.06654
0.01,0.06,0.066643
0.01,0.06,0.06731
0.01,0.06,0.066334
0.01,0.06,0.066643
0.01,0.06,0.066386
0.01,0.06,0.06672
0.01,0.06,0.066848
0.01,0.06,0.066643
